Timestamp,Temperature (C),Humidity (%)
2024-12-12 07:45:09,23.8,50.0
2024-12-12 07:45:14,23.8,50.0
2024-12-12 07:45:19,23.8,50.0
2024-12-12 07:45:24,23.8,50.0
2024-12-12 07:45:29,23.8,50.0
2024-12-12 07:45:35,23.8,50.0
2024-12-12 07:45:40,23.8,50.0
2024-12-12 07:45:45,23.8,50.0
2024-12-12 07:45:50,23.8,50.0
2024-12-12 07:45:55,23.8,50.0
2024-12-12 07:46:01,23.8,49.0
2024-12-12 07:46:06,23.8,49.0
2024-12-12 07:46:11,23.8,50.0
2024-12-12 07:46:16,23.8,50.0
2024-12-12 07:46:21,23.8,49.0
2024-12-12 07:46:26,23.8,49.0
2024-12-12 07:46:32,23.8,49.0
2024-12-12 07:46:37,23.8,49.0
2024-12-12 07:46:42,23.8,49.0
2024-12-12 07:46:48,23.8,49.0
2024-12-12 07:46:53,23.8,49.0
2024-12-12 07:46:58,23.8,50.0
2024-12-12 07:47:03,23.8,50.0
2024-12-12 07:47:08,23.8,50.0
2024-12-12 07:47:14,23.8,50.0
2024-12-12 07:47:19,23.8,50.0
2024-12-12 07:47:24,23.8,50.0
2024-12-12 07:47:29,23.8,50.0
2024-12-12 07:47:35,23.8,49.0
2024-12-12 07:47:40,23.8,49.0
2024-12-12 07:47:45,23.8,49.0
2024-12-12 07:47:50,23.8,49.0
2024-12-12 07:47:56,23.8,49.0
2024-12-12 07:48:01,23.8,49.0
2024-12-12 07:48:06,23.8,49.0
2024-12-12 07:48:11,23.8,49.0
2024-12-12 07:48:17,23.8,49.0
2024-12-12 07:48:22,23.8,49.0
2024-12-12 07:48:27,23.8,49.0
2024-12-12 07:48:32,23.8,49.0
2024-12-12 07:48:38,23.8,49.0
2024-12-12 07:48:43,23.8,49.0
2024-12-12 07:48:48,23.8,49.0
2024-12-12 07:48:53,23.8,49.0
2024-12-12 07:48:59,23.8,49.0
2024-12-12 07:49:04,23.8,49.0
2024-12-12 07:49:09,23.8,49.0
2024-12-12 07:49:14,23.8,49.0
2024-12-12 07:49:19,23.8,49.0
2024-12-12 07:49:24,23.8,49.0
2024-12-12 07:49:29,23.8,49.0
2024-12-12 07:49:35,23.8,49.0
2024-12-12 07:49:40,23.8,49.0
2024-12-12 07:49:45,23.8,49.0
2024-12-12 07:49:50,23.8,49.0
2024-12-12 07:49:55,23.8,49.0
2024-12-12 07:50:01,23.8,49.0
2024-12-12 07:50:06,23.8,49.0
2024-12-12 07:50:11,23.8,49.0
2024-12-12 07:50:17,23.8,49.0
2024-12-12 07:50:22,23.8,49.0
2024-12-12 07:50:27,23.8,49.0
2024-12-12 07:50:33,23.8,49.0
2024-12-12 07:50:38,23.8,49.0
2024-12-12 07:50:43,23.8,49.0
2024-12-12 07:50:48,23.8,49.0
2024-12-12 07:50:53,23.8,49.0
2024-12-12 07:50:59,23.8,49.0
2024-12-12 07:51:04,23.8,49.0
2024-12-12 07:51:09,23.8,49.0
2024-12-12 07:51:14,23.8,49.0
2024-12-12 07:51:19,23.8,49.0
2024-12-12 07:51:24,23.8,49.0
2024-12-12 07:51:29,23.8,49.0
2024-12-12 07:51:35,23.8,49.0
2024-12-12 07:51:40,23.8,49.0
